DNI#INT,Nombre#STRING,CUI#INT,Escuela#STRING
72388190,"Manzanares Irizarry Uma  Oswaldo",20192016,Enfermería
59708552,"Duarte Iglesia João Pedro Renata",20219977,Ingeniería Eléctrica
41674390,"Palacio Yepes Luiz Henrique Cynthia",20181318,Comunicación Social
36737193,"Bautista Rocha Martina Guillermo",20196857,Farmacia y Bioquímica
29762109,"Huerta Escobedo Mateo Benjamin Lucas Gabriel",20218943,Ingeniería Geológica
55698058,"Barragán Carrasco Maria Luiza Kike",20253907,Física
59980750,"Espinoza Alves Catarina Julieta",20214501,Educación Inicial
49584648,"Martínez Diaz Abel Karina",20245382,Ingeniería Industrial
63569935,"Cano Pereira Silvia Marcos",20177950,Trabajo Social
73952350,"López Vega Rubén Maricruz",20221384,Sociología
44779388,"López Canales Orlando Cristian",20199863,Odontología
92325821,"Leal Gollum Thiago Benjamin Juliana",20181700,Sociología
61678218,"Leyva Morales Nathan Maite",20240730,Contabilidad
18825762,"Novaes Palacios Gerónimo Lara",20259186,Enfermería
18253501,"da Conceição Rincón Asunción Irma",20220643,Biología
99242352,"Bueno Padilla Valentin Luis Ángel",20200750,Ingeniería Civil
38168063,"Avila Murcia Luiz Felipe Mariana",20253478,Educación Secundaria - Matemática y Física
54668797,"Valencia Rojas Anacleto Juan José",20251559,Comunicación Social
84426849,"Piñeiro Fogaça Araceli Paulina",20226312,Administración
66019909,"Sampaio Duarte Zoe Valentina Esperanza",20175635,Ingeniería Mecánica
37517994,"Pont Palacios Belen Valentina",20176237,Física
46200025,"Hernández Câmara Juan Cruz Paulo",20185976,Física
33351558,"Blázquez Borrego Godofredo Santino Benjamin",20236964,Economía
13133742,"Rezende Ferrando Calixto Juan Pablo",20245978,Medicina Humana
60465881,"Diaz Tejada Salvador Jerónimo",20219079,Contabilidad
61240801,"Melo Rius Albano Alexia",20249019,Derecho
25101776,"Jaime da Costa José Maria Luísa",20208324,Educación Secundaria - Matemática y Física
47188025,"Oliver Salmerón Ruth Primitiva",20229333,Matemáticas
98453045,"Lastra Ramón Olga Lope",20258358,Comunicación Social
80416828,"Toro Gonzalez Enzo Hadassa",20170953,Ingeniería Industrial
72612192,"da Luz Álvarez Joaquin Ambrosio",20252076,Literatura y Lingüística
10813369,"Matas Rodriguez Nicolas Chucho",20228612,Trabajo Social
14386892,"Rincón Borges Federico Paulino",20243603,Economía
74109740,"Franco Betancur Gabriel Ruby",20193747,Educación Inicial
37274107,"Rodríguez Romero Mercedes Theo",20212071,Economía
92206669,"Alonzo Farias Hernán Inmaculada",20218342,Matemáticas
28683536,"Cardoso Fortuny Gilberto Carmen",20200786,Educación Inicial
21694801,"Samaniego Obando Luz Maria Alma",20234063,Biología
60144940,"Quiroga Vieira Marcela Camila",20177336,Ingeniería Mecánica
42564615,"Toro Cardoso Adriana Julio César",20186585,Enfermería
72644868,"Diaz Saavedra Carmen Agapito",20240839,Psicología
94183111,"Valencia Lara Juan Ricardo",20203200,Administración
49017114,"Montenegro Cavalcanti Rafa Patricia",20201945,Medicina Humana
78809331,"Hernandez Viana Bento Lautaro Nahuel",20182891,Literatura y Lingüística
95483375,"Alegria Soria Macaria Levi",20230476,Ingeniería Civil
11759614,"Samaniego da Costa Tatiana Paula",20237124,Administración
32927028,"Ardila Porto María Teresa Ana Luiza",20247607,Psicología
64932205,"Armenta Castro Maria Helena Breno",20222489,Enfermería
57878335,"Jurado Tejada Raquel Ángel",20226007,Ingeniería Civil
30192356,"Silveira Vargas Juan Felipe",20212443,Física
52578257,"da Rocha Rentería Eduarda Isabella",20236400,Ingeniería Industrial
66376476,"Vásquez Ojeda Pedro Miguel Alícia",20187435,Enfermería
74190317,"Melo López Caleb Lucio",20199761,Historia
89714826,"Ruiz Cardona Francisco Carlos",20251349,Sociología
94121872,"Ramos Hurtado Júlia Tito",20220803,Física
30629597,"Sola Díaz Celia Osvaldo",20250116,Ingeniería Mecánica
68124176,"Montalbán Herrera Florencio Cristian",20219023,Odontología
24521801,"Ortega Guzman Salvador Amparo",20202384,Trabajo Social
33283876,"Pedrosa Aguirre Juan Davi Lucas",20244576,Psicología
66338540,"Cordoba Ribeiro Carolina Antonia",20230929,Contabilidad
45397707,"González Arce Norma Cloe",20177138,Farmacia y Bioquímica
47475802,"Esparza Mercader Sofia Belen Jesusa",20213088,Farmacia y Bioquímica
15527577,"Aragão Apodaca Gilberto Ferney",20240642,Enfermería
29762031,"Gurule Diaz Davi Lucca Gerónimo",20227505,Educación Secundaria - Matemática y Física
68421602,"Moreira Castro Théo Mateo",20243685,Química
41249934,"Espinosa Barros Daniela Aldonza",20238237,Educación Primaria
97460595,"Souza Alemany Flor Adriana",20246942,Enfermería
26895267,"Dias Coll Ignacio María Carmen",20250870,Educación Inicial
55496174,"Gomez Moreira Lupita María José",20226867,Sociología
51162847,"das Neves Sales Calista Israel",20246826,Derecho
58410054,"Santos Acosta Hernando Hugo",20229987,Economía
58382157,"Carrizo Barreto Ana Belén Silvio",20206521,Administración
20945660,"Sauceda Guerra Juan Gabriel Guadalupe",20249974,Educación Primaria
94583710,"da Cunha Farré Rosalina Nazaret",20196154,Ingeniería Ambiental
43436118,"Gascón Guzman Rebeca Dario",20224132,Farmacia y Bioquímica
44771552,"Ferreyra Ordóñez Luz Jazmin",20236606,Odontología
76791627,"Carrizo Caicedo Thiago Benjamin Heitor",20242654,Psicología
67343967,"Azevedo da Rocha Ana Clara Luis",20170220,Sociología
76825032,"Ramón Arrieta Silvano Adela",20220832,Biología
95645131,"Ruiz Suarez Davi Leticia",20244743,Medicina Humana
23410827,"Jesus Alcolea Pedro Henrique Benjamin",20173086,Ingeniería Ambiental
44468765,"Ferreira Ruiz Julia Lupe",20174918,Enfermería
93227753,"Cabán Cantero Luis José Carlos",20171271,Educación Secundaria - Matemática y Física
16024524,"Santos Solorio Marcos Mateo Valentin",20204727,Química
60260273,"Domínguez Alves Vitor Hugo Catalina",20216469,Administración
27692047,"Bahena Rios Rosario Matteo",20214397,Ingeniería Eléctrica
61605817,"Badía Covarrubias Marcela Marco Antonio",20247929,Historia
57045543,"Martorell Aragão José Pedro Hortensia",20201699,Economía
32088292,"Cortez Herrera Alejo Eric",20237941,Odontología
85171319,"Herrera Moreno Renan Mercedes",20257598,Derecho
62568858,"Gracia Romero Conchita César",20251375,Psicología
54719320,"Herrera Perez Esperanza Eva María",20253218,Ingeniería de Sistemas
72628471,"Crespo Muñoz Dylan Ezequiel Tere",20177054,Educación Primaria
51187012,"Solorio Godoy Graciana Dylan",20259523,Literatura y Lingüística
52349689,"Tamayo Arellano Trinidad Lucio",20207543,Literatura y Lingüística
86662828,"Belda Castro Gabriel Patricia",20227432,Ingeniería Eléctrica
20890350,"Herrera Manrique Sabrina Arthur Gabriel",20196962,Química
98195631,"Pereira Lopez Camila Facundo",20224091,Ingeniería Ambiental
95769459,"Torres Duarte Maxi Tristán",20248978,Ingeniería de Sistemas
72582132,"Balderas Teixeira Marisol Sofia",20172827,Administración
73657175,"Novaes Martínez Agustín Fernando",20251100,Sociología
48654072,"Pires Perez Luiz Otávio Pedro",20193381,Historia
93416263,"Paz Molina Alexander Hernán",20191467,Física
48263299,"Jurado Rosas Tomàs Tania",20234048,Comunicación Social
95430314,"Ugarte Ramos Gregorio Miguel",20223368,Educación Inicial
26197605,"Rodarte Vega Clara Daniel",20239516,Ingeniería de Sistemas
62993649,"Santos Gonçalves Cristal Federico",20243687,Trabajo Social
22308279,"Mercader Acuña Florencia Rosa María",20225397,Educación Secundaria - Matemática y Física
59418405,"Murcia Toledo Rafael Luciano",20243799,Contabilidad
88800772,"Calzada Farias Luana Rosa",20228604,Contabilidad
97439952,"Meléndez Garcia Rosalina Adela",20252150,Arquitectura
73827181,"Calderón Figueroa Yasmin Graciela",20257243,Ingeniería Civil
40081204,"Ojeda Acevedo Ciro Caleb",20179778,Administración
98339063,"Alcántara Correa Juan Ignacio Ana Belén",20253722,Economía
14971459,"Martínez Gil Adán Francisca",20247724,Ingeniería Ambiental
16406395,"Gastélum Garcia Manuel Román",20222074,Educación Secundaria - Matemática y Física
80125874,"Cruz Álvarez Luis Cristal",20220088,Ingeniería Geológica
86206878,"Benitez Cruz Rosalia Valentina",20210254,Educación Primaria
26438113,"Cepeda Bustos Esteban Melina",20179358,Enfermería
12522784,"Moreno Monteiro Ana Maxi",20259883,Ingeniería Ambiental
75470277,"Lara Perdomo Caleb Lucía",20244031,Matemáticas
31780383,"Gonzalez Cerro Patricio Martina",20193475,Educación Primaria
34831895,"Ruiz Estrada Asunción Thiago Benjamin",20212350,Ingeniería Civil
16780991,"Solano Pastor Tomás Manuelita",20174268,Administración
96292162,"Martorell Díaz Bianca Maria Júlia",20175150,Psicología
84538577,"Toledo Garcia Pamela Manuel",20231711,Educación Primaria
57092946,"de Anda Bellido Facundo María",20222925,Derecho
44878291,"Castillo Sierra Julio Santino",20220697,Ingeniería Civil
78166386,"Luján Toro Leonor Gael",20244544,Farmacia y Bioquímica
35521890,"Silva González Santino Gabriel Cruz",20258101,Química
48995050,"Sebastián Español María Pastor",20214160,Ingeniería Geológica
31751316,"Montero Quiroga Julieta Encarnita",20177735,Educación Primaria
53952846,"Salgado Zelaya Paola Luisina",20211188,Ingeniería Geológica
65582375,"Feliciano Rodriguez Joaquín Claudia",20257436,Historia
50503687,"Torres Paz Ana Julia Tiziano Valentin",20194895,Química
21745873,"Torres Aragão Modesto Isabella",20214091,Contabilidad
77008296,"Suarez Lopez Ana Clara Reynaldo",20258269,Economía
18404555,"Blasco Rodríguez Maria Clara Tiziano Benjamin",20248425,Enfermería
27081046,"Flores Díaz Asafe Óscar",20185444,Enfermería
42517677,"Jaime Lozano Marina Mercedes",20236126,Ingeniería Civil
76396323,"Ramirez Martínez Liz Lucy",20199684,Ingeniería Mecánica
70802999,"Cardozo Ramirez Carolina Joaquín",20171625,Derecho
93229747,"Peralta Corral Nayeli Toni",20250929,Ingeniería Civil
28225215,"Garcia Martinez Sergio Ani",20195262,Administración
59169878,"Rangel Perez Natalia Rafaél",20242365,Física
31557468,"Ramos Galan Jenaro Benjamin",20203140,Educación Inicial
85895153,"Gomez Mireles Juan Pablo Inés",20174714,Ingeniería Eléctrica
72313365,"Anguiano Hervia Ileana Geronimo",20175308,Química
57294885,"Tur Pérez Vitor Hugo Cristina",20259209,Ingeniería Electrónica
35721903,"Montserrat Bustos Enrique Luis",20223916,Educación Secundaria - Matemática y Física
67797107,"Gomez Cruz Victoria Enrique",20206334,Ingeniería Mecánica
13315503,"Naranjo Castañeda Esther Lucía",20228758,Ingeniería Mecánica
94220234,"Correa Murcia Andrea Mariah",20253162,Biología
93892020,"Borges Martínez Maria Maria Eduarda",20197075,Administración
80529340,"Marín Mondragón Bautista Álvaro",20187267,Contabilidad
68385727,"Mendoza Paz Thiago Leonel Luiz Miguel",20182395,Historia
64707373,"Duque Moll Genaro José Emilio",20226218,Literatura y Lingüística
46994980,"Suarez Puentes Amparo Teresa",20239550,Enfermería
88464077,"Porto Serna Tomàs Caio",20240405,Contabilidad
56779083,"Mercader Araújo Yan Basilio",20219335,Enfermería
84301079,"Gras Mendez Eduardo Gracia",20193757,Comunicación Social
72719648,"Olmos Blasco Elías José Carlos",20204513,Física
87253561,"Barrera Ángel Diego Dani",20212778,Educación Primaria
59305177,"Alvarez Alves Jesús Jerónimo",20202226,Administración
51419759,"Moreno Miranda Manuel Azahar",20234555,Ingeniería Civil
62990480,"Olivera Muñoz Gastón Alejandro",20195921,Ingeniería Mecánica
51385377,"Paz Rodriguez Jenny Delfina",20184618,Comunicación Social
25207464,"Vargas Diaz Agostina Aníbal",20218220,Historia
33844247,"Mercado Cifuentes Juan Pablo Maria Victoria",20195109,Contabilidad
61252438,"Palacios Gomez Dylan Ezequiel Mateo Valentin",20175418,Historia
25842547,"Cabrera Cuenca Judith Maricruz",20249819,Ingeniería Electrónica
17449779,"Acevedo Cervera José Delfina",20204892,Ingeniería Geológica
41463577,"Santamaria Ramírez María Elena Esperanza",20185032,Ingeniería Mecánica
97969773,"Crespo Sans Nathan Eva",20175777,Arquitectura
16559822,"Sotelo da Rosa Tomàs Luiz Gustavo",20210236,Medicina Humana
88153122,"Partida Gutierrez Modesta Juan Manuel",20170989,Matemáticas
72133596,"Duarte Ortiz Emiro Agustin",20191841,Derecho
46935874,"Soria Dominguez Hipólito Ignacio",20221442,Matemáticas
17928106,"Sanchez Nuñez Héctor Eduard",20197678,Educación Primaria
80706347,"Castillo Salas Clara Juan Bautista",20240684,Psicología
22878694,"Pacheco Silveira Lorena Manuel",20242722,Comunicación Social
52704441,"Alcántara Lopes Juan Ignacio Fabiola",20187144,Odontología
85468868,"Herrera Gallego Bernardo Luz",20186731,Odontología
63815172,"Tolosa Romero Olivia Carlos",20225109,Ingeniería Mecánica
63992687,"Castro Carrión Maximiliano Gael Henrique",20209913,Contabilidad
22008525,"Albuquerque Córdoba Trinidad Jacinto",20183226,Sociología
39301176,"Vieira Lara Eduarda Eustaquio",20216242,Economía
23634832,"Oliver Jaramillo Benjamín Leonel",20246558,Física
24822204,"Cervera Vega María Teresa Mariana",20196059,Farmacia y Bioquímica
39713183,"Mendonça Oliveira Toribio Carmen",20223299,Economía
36265673,"Pérez Ortiz Daniel Karina",20220329,Ingeniería de Sistemas
78617866,"Piquer Velasco Sonia Benjamin",20200914,Matemáticas
29703171,"Miranda Leão Caio David",20170411,Farmacia y Bioquímica
71434023,"García Carrizo Charo Benício",20245502,Odontología
85236187,"Tovar Zarate Camila Adalberto",20222864,Ingeniería Industrial
95500850,"Orosco Prado Marcela María Ángeles",20202201,Trabajo Social
43931161,"Campos Navarro Raquel Bautista",20238430,Ingeniería Industrial
76160045,"Martinez Águila Belén Vilma",20241457,Sociología
51323223,"Ramirez Marroquín Esther Ligia",20194726,Ingeniería Industrial
60678588,"Pacheco Perez Breno Alejo",20257988,Enfermería
30973800,"Medina Burbano Mauro Lola",20236990,Psicología
17507014,"Solís Ramos Santino Luis",20237388,Educación Inicial
39664122,"Cabello González Celia Rocío",20223730,Comunicación Social
29394801,"Santos Moreno Amanda Rosa",20195866,Enfermería
81959374,"Ortuño Villalba Inés Eliseo",20252947,Historia
29033763,"Forero Llamas Wilson Martina",20170569,Derecho
76128154,"Arévalo Espinosa João Lucas Joana",20241796,Comunicación Social
38045164,"Guerra Verduzco Apollo Ana Julia",20174662,Biología
95237241,"Gallegos Leiva Santino Agustin Pablo",20218099,Medicina Humana
58995957,"Posada Rincón Raimundo Letícia",20234738,Ingeniería Industrial
15817757,"Marco Burgos Clemencia Brenda",20255625,Ingeniería Mecánica
91421156,"Borges Lopez Esteban Heloisa",20253388,Ingeniería Industrial
73606406,"Fernandez Espinoza Ana Clara",20213309,Comunicación Social
31027290,"Manrique Sola David Milton",20247979,Ingeniería Mecánica
47048258,"Rodríguez da Cruz Abelardo Benjamin",20246396,Ingeniería Geológica
63402202,"Acuña Galiano Paola Lucas Gabriel",20181377,Ingeniería Geológica
35955167,"Cunha Ordóñez Glauco Luana",20182704,Psicología
84148990,"Ferreyra Arevalo Juana Eugenia",20200986,Comunicación Social
61649816,"Cárdenas Oliveira Estefanía Igor",20248952,Arquitectura
52845406,"Correa Perdomo Flor Victoria",20179622,Literatura y Lingüística
59899254,"Maldonado Saldivar Silvia Juana",20217627,Historia
49712319,"Rolón Silveira Estela Abel",20226898,Sociología
60027396,"Teruel Vieira Soledad Sofía",20171141,Física
10929742,"Morales Lima Abigail Leonor",20234235,Medicina Humana
76669749,"Ramos Siqueira Haroldo Joaquín",20223276,Matemáticas
84902821,"Rodríguez Real Martin Maria Vitória",20176233,Ingeniería Mecánica
87048863,"Martin Rojas Ana Luiza María",20174862,Educación Primaria
82171422,"Ospina Pires Laura Alice",20197596,Ingeniería Ambiental
73902563,"Alsina Pérez Abigail Diana",20214097,Psicología
29516046,"Vieira Barros Vitor Gabriel Martina",20235288,Administración
67802984,"Guillen Andrade Bruno Gustavo Henrique",20235303,Ingeniería Mecánica
69848077,"Anaya Gómez Esther Lourdes",20230577,Ingeniería Ambiental
57050241,"Galván Tello Patricia Sara",20258408,Medicina Humana
62672022,"Rico Reyes Piedad Alberto",20193662,Ingeniería Mecánica
89981260,"Rodriguez Beltrán Tito Júlia",20253959,Literatura y Lingüística
86299185,"da Cunha Velázquez Charo Lavínia",20185539,Ingeniería Electrónica
23077663,"Falcón Siqueira Germán André",20208893,Ingeniería Ambiental
79137450,"Marques Miranda Gloria Julian",20218676,Administración
83430443,"Company Chacón Lara Felipe",20194085,Literatura y Lingüística
83274047,"Parejo Daza Cauã Fabiola",20197606,Ingeniería Mecánica
65875851,"Gomez Alonso Delfina Fernanda",20196761,Educación Inicial
26914582,"Luna Castro Marcela Benito",20183374,Ingeniería de Sistemas
33106658,"Brito Estévez Benjamín Caleb",20190105,Física
50417960,"Barceló Teixeira Delia Jorge",20200285,Ingeniería de Sistemas
77323461,"Ayala Marques Kevin Ayla",20253948,Ingeniería Geológica
49369120,"Correia Cano Salvador Alfredo",20249079,Administración
47451187,"Losada Jordá Ramón María",20202180,Educación Primaria
16896958,"Velásquez Duarte Máximo Berta",20233288,Psicología
91408878,"Medrano Núñez Nicolas Luz Milagros",20172670,Literatura y Lingüística
84010657,"Moraes Cortés Lucas Benigna",20245295,Derecho
70498552,"Hernandez Daza Bianca Ana Carolina",20203827,Educación Primaria
98901633,"Borrego Carro Diego Orlando",20212443,Contabilidad
66342973,"Escolano Vélez Santiago María",20176712,Psicología
83028843,"Mansilla Gutierrez Sandra Orlando",20237981,Ingeniería Mecánica
38415723,"Oviedo Romero Noah Vinicius",20202586,Sociología
20478498,"Dominguez Martorell Reina Miriam",20234899,Comunicación Social
95391541,"Benitez Guardiola Luna Jorge",20199468,Ingeniería Eléctrica
60575518,"Moura Tamayo Ciro Benjamin Eugenia",20171344,Biología
77134134,"da Rocha Cavazos Júlia Maria Helena",20257277,Literatura y Lingüística
76913642,"Gonçalves Martorell Simon Eliecer",20250876,Literatura y Lingüística
25949285,"Gracia Gonçalves Enrique Thiago Ezequiel",20253116,Ingeniería Geológica
45297184,"Correia Esquivel Ian Bautista",20173646,Comunicación Social
15544791,"Amorós Siqueira Evelio Mateo",20218144,Educación Secundaria - Matemática y Física
11017965,"Mejía Soriano Esther Simon",20253260,Odontología
60017524,"del Río Vargas William Victoria",20203672,Trabajo Social
87068781,"Alvarez Andrade Carolina Jorge",20235333,Medicina Humana
60831606,"Páez Perez María Del Carmen Luiz Henrique",20235278,Farmacia y Bioquímica
57650834,"Alejandro Vasconcelos Eutropio Miguel",20183515,Administración
29602459,"Ojeda Bustamante Maysa Genoveva",20235081,Educación Primaria
40367996,"Navarro Gaitán Facundo Morena",20256511,Odontología
89113987,"Sanchez Palacios Valentim Caroline",20247173,Ingeniería Civil
11292461,"Castillo Valencia Zeferino Valentina",20174569,Química
54212563,"Pimenta Álvarez Matias Gastón",20193551,Psicología
73561448,"Gomes Espejo Carmen Débora",20207117,Trabajo Social
85190898,"Carbajal Salgado Luan Ani",20171909,Biología
86445585,"Meraz Castell João Lucas Teodora",20240861,Ingeniería Ambiental
58758479,"Barral Collado Nancy Matías",20222344,Sociología
27410004,"Cunha Narváez Tomasa Esperanza",20206122,Educación Primaria
46477041,"da Rocha da Cruz Lorenzo Eloísa",20232429,Administración
22946376,"Tapia Bustos Joaquin Vitor",20239004,Ingeniería Eléctrica
96480674,"Ramirez Gordillo Josefina Eusebio",20171682,Derecho
61623806,"da Cruz Martins Reina Eduardo",20245754,Educación Primaria
63577324,"Torres Robledo Marcela Luz",20232832,Economía
73993238,"Rodriguez Ángel Lautaro Merche",20204354,Ingeniería Eléctrica
50443386,"Garcia Patiño Arthur Paola",20192104,Odontología
79597932,"Cantú Gimenez Yesid Júlia",20201859,Administración
49017451,"Villalba Martinez Liliana Catalina",20254312,Economía
33475130,"Garcia Goicoechea Enzo Gabriel Malena",20232767,Física
58934675,"Rentería Sosa Heitor Sara",20235982,Farmacia y Bioquímica
71819702,"Guerra Benitez Arthur Martina",20198593,Enfermería
84373903,"Diaz Segura Juan Cruz Pablo",20210559,Ingeniería Civil
73363535,"Jasso Salas Luna Josefina",20192771,Farmacia y Bioquímica
52601392,"Gollum Ramírez Joaquina Hugo",20216885,Ingeniería Geológica
36523554,"Quesada Velásquez Fernanda Jhon",20238022,Derecho
23545512,"Fogaça Torrecilla Alfonso Carolina",20237076,Química
98829286,"Castillo Avilés Trinidad Florentina",20253615,Historia
73461084,"Rico Valencia Paola Julieth",20198937,Literatura y Lingüística
82570671,"Barela Romo Maria Cecília Jazmin",20222546,Física
35339135,"Murcia Amaya Josefina Demetrio",20170222,Ingeniería Eléctrica
55743439,"Fonseca Ibarra Miguel Ángel Isabel",20246742,Administración
35221931,"Luna Galindo Carlos Maria Luiza",20220150,Administración
90348620,"Gutiérrez Torrents Nelsy Armando",20204748,Química
42600574,"Bernal Moya Porfirio Clarice",20182333,Ingeniería Civil
34747037,"Roldán Campos Jade Emanuella",20245346,Química
37019464,"Alves Godoy Bautista Berto",20188275,Ingeniería de Sistemas
19524127,"Haro Cedillo Patricia Nahuel",20170804,Historia
45254428,"Cassiano Arenas Juan Francisco José",20217857,Literatura y Lingüística
99006745,"da Mota Bravo Brayan Edinson",20200651,Ingeniería Geológica
34694637,"Rueda Lucero Zaira Virgilio",20229765,Literatura y Lingüística
20145223,"Quezada Vieira Guillermo Ofelia",20251690,Psicología
90691005,"Cases Manso Josefina Isabel",20212415,Trabajo Social
53724512,"Hernádez Vega Esmeralda Davi Miguel",20199434,Ingeniería Electrónica
47570707,"Olivera Molano Maximiliano Agustina",20200556,Química
64147744,"Molina Rubio Francisco Javier Alexia",20226608,Ingeniería Eléctrica
91594078,"Marroquín Cunha Ana Paula Davi",20174642,Ingeniería Mecánica
97377453,"Almansa Villalba Vitor Maria Cecília",20186796,Física
95363279,"Pinzón Quintero Emilly Rafaela",20190009,Biología
